項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
81675,陳○松,臺北市萬華區,菠菜,113/1/16,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
15954,陳○水,臺北市中山區,白杏菜(莧菜),114/8/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
34657,陳○男,新北市新莊區,茂谷柑,114/3/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
101096,陳○祥,臺北市萬華區,甜豆,112/9/27,農藥(毆殺斯),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
105063,陳○結,臺北市中山區,豌豆,112/6/1,農藥(可尼丁、達滅芬、脫芬瑞、得克利),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
96400,陳○義,新北市板橋區,手工板豆腐,112/9/11,殺菌劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
96401,陳○義,新北市板橋區,手工板豆腐,112/9/11,防腐劑,不合格,違反食安法第18條，依同法第47條裁處,30000,,違反食安法第18條，依同法第47條裁處,high,第18條 食品添加物使用標準
169116,陳○芝,新北市金山區,自產自銷甘藍,111/3/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
34694,陳○豪,新北市土城區,香菜,114/3/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
145268,陳○財,臺北市萬華區,【台灣】竹葉黑荔枝,111/6/30,農藥(陶斯松),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
53970,陳○通,新北市深坑區,豌豆,113/10/4,農藥(芬克座),不合格,依食安法第47條第1項第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
178824,陳○雄,臺北市萬華區,欣樺保鮮大根(白蘿蔔),110/10/13,農藥(三氯松、賽速安),不合格,違反食安法第15條第1項第5款，依同法第44條第1項第2款裁處,60000,,違反食安法第15條，依同法第44條裁處,critical,第15條 食品/添加物不得有特定情形
199980,陸霸王,臺北市松山區,生鮮牛肚,110/6/30,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199981,陸霸王,臺北市松山區,生鮮冷凍雞心,110/6/30,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199687,青泉谷友善永續農舍,臺北市松山區,優質放牧雞蛋,110/6/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
192107,韋氏O,新北市三峽區,白米,110/10/6,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
35385,顏○業,新北市新莊區,櫛瓜,114/3/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
183736,顏○真,台北市中正區,碎干貝,110/12/2,防腐劑、漂白劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
183737,顏○真,台北市中正區,SAS干貝,110/12/2,防腐劑、漂白劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
32497,顏○蓉即宇隆行,新北市板橋區,蘿蔔,114/5/28,農藥(賽速安),不合格,依食安法第44條裁處,60000,,依食安法第44條裁處,high,依第44條裁處 → 多源自第8/15/16條
628,高O華,臺北市大安區,烏骨雞,115/2/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
629,高O華,臺北市大安區,雞肝,115/2/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
124231,高O連,臺北市萬華區,豬肝,112/3/23,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
16603,高○貿,新北市板橋區,毛豆,114/6/27,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199633,麗園蛋品,臺北市松山區,環保白蛋,110/6/18,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
11175,黃O男,新北市三重區,雞肝,114/7/8,動物用藥殘留(脫氧羥四環黴素),不合格,違反食品安全衛生管理法第47條,30000,,違反食安法第47條,medium,依第47條裁處 → 多源自第22/25/26/27條
119230,黃O興肉號,臺北市中山區,豬小里肌,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
171071,黃O興肉號,臺北市中山區,豬肝,111/3/22,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
170865,黃O雯,臺北市大安區,挪威產鮭魚切片,111/4/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
170866,黃O雯,臺北市大安區,生干貝,111/4/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
170867,黃O雯,臺北市大安區,一口小章魚,111/4/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
15975,黃○忠,新北市板橋區,空心菜,114/7/23,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
191647,黃○昆,臺北市萬華區,青江菜,110/8/31,農藥(克凡派),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
38414,黃○汝,臺北市中山區,花椰菜,114/1/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
32518,黃○群即宏洋蔬菜行,台北市萬華區,九層塔(羅勒),114/4/8,農藥(賽座滅、達滅芬、撲滅寧),不合格,依食安法第47條裁處,30000,與同業者抽驗產品(蔥)同案辦理,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
32519,黃○群即宏洋蔬菜行,台北市萬華區,蔥,114/4/8,農藥(芬普尼),不合格,依食安法第47條裁處,30000,與同業者抽驗產品(九層塔(羅勒))同案辦理,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
101093,黃○諭,臺北市中山區,日本杏菜(莧菜),112/9/5,農藥(座賽胺),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
16206,黃○通,新北市汐止區,紅龍果,114/6/25,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
