principal,date,law,name,id,lawcontent,docno,amt_dollartwd
陳嘉根,2024-06-18,職業安全衛生法第6條第1項,北昌營造股份有限公司,996168530WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649059號,30000
許虎成,2024-06-20,職業安全衛生法第6條第1項,磐石鋁業有限公司,996168531WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648959號,30000
于祿宏,2024-06-18,職業安全衛生法第6條第1項,三豐營造有限公司,996168532WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649047號,40000
邵明斌,2024-06-18,職業安全衛生法第6條第1項,瑞助營造股份有限公司,996168541WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648624號,60000
張智淵,2024-06-20,職業安全衛生法第6條第1項,原成營造工程股份有限公司,996168545WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648957號,50000
郭雲雪,2024-06-19,職業安全衛生法第6條第1項,武塔營造有限公司,996330839WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134648830號,30000
許陳美瓊,2024-04-16,職業安全衛生法第32條第1項,神興科技股份有限公司,985775959WZT,未對勞工應施以從事工作與預防災變所必要之安全衛生教育及訓練,新北府勞檢字第1134641029號,30000
鄭麗敏,2024-04-10,職業安全衛生法第6條第1項,億邦營造有限公司,984687231WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134640052號,30000
邱慶鐘,2023-12-25,職業安全衛生法第23條第1項,竹蜻蜓國際貿易有限公司,969752105WZT,未訂定職業安全衛生管理計畫，並設置安全衛生組織、人員，實施安全衛生管理及自動檢查,新北府勞檢字第1124690297號,30000
蔡坤欣,2024-06-21,職業安全衛生法第6條第1項,承優營造股份有限公司,996496274WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649203號,60000
王傳井,2024-06-21,職業安全衛生法第6條第1項,永大興營造工程股份有限公司,996496275WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649583號,50000
李明廣,2024-06-21,職業安全衛生法第6條第1項,紹華營造股份有限公司,996496276WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649582號,30000
莊國宏,2024-06-21,職業安全衛生法第6條第1項,利華營造股份有限公司,996496277WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649581號,30000
,2024-06-21,職業安全衛生法第6條第1項,林建宏(即松勝企業社),996496281WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649578號,30000
盧嘉辰,2024-06-21,職業安全衛生法第6條第1項,百晟營造股份有限公司,996496283WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649580號,30000
楊忠謀,2024-06-21,職業安全衛生法第6條第2項,雙全國際股份有限公司,996660016WZT,未妥為規劃及採取必要之安全衛生措施,新北府勞檢字第1134649428號,40000
周文裕,2024-06-21,職業安全衛生法第6條第1項,美力香食品股份有限公司,996660017WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649624號,30000
黃柏峰,2024-06-21,職業安全衛生法第6條第1項,冠柏營造股份有限公司,996660018WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649596號,70000
林鴻吉,2024-06-21,職業安全衛生法第6條第1項,國城營造有限公司,996660022WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649785號,50000
朱玉珠,2024-06-21,職業安全衛生法第6條第1項,億東營造股份有限公司,996660023WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649821號,30000
朱東輝,2024-06-21,職業安全衛生法第6條第1項,旭源營造工程股份有限公司,996660024WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649621號,30000
鐘玉真,2023-08-15,職業安全衛生法第16條第1項,旺得工業有限公司,950756568WZT,使用未經檢查合格之危險性機械或設備,新北府勞檢字第1124675337號,30000
林鴻吉,2024-06-26,職業安全衛生法第6條第1項,國城營造有限公司,997129659WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134649921號,30000
林莉婷,2024-06-25,職業安全衛生法第6條第1項,忠明營造工程股份有限公司,997293317WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650092號,40000
譚鴻達,2024-06-25,職業安全衛生法第6條第1項,億盛營造股份有限公司,997293325WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650257號,30000
張勝發,2024-06-25,職業安全衛生法第6條第1項,洛城營造有限公司,997293326WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650307號,60000
李依樺,2024-06-25,職業安全衛生法第6條第1項,日昇氣體有限公司,997293327WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650191號,30000
鄭國盛,2024-06-28,職業安全衛生法第6條第1項,協侑營造有限公司,997622564WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650680號,60000
董晃銘,2024-06-28,職業安全衛生法第6條第1項,中原食品工業開發股份有限公司,997622565WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650341號,30000
,2024-06-28,職業安全衛生法第6條第1項,郭金泉,997622566WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650344號,30000
游鴻達,2024-06-28,職業安全衛生法第6條第1項,開誠工程股份有限公司,997622569WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650650號,30000
洪文霖,2024-07-04,職業安全衛生法第6條第1項,輝達營造有限公司,997786801WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650799號,70000
林鴻吉,2024-07-01,職業安全衛生法第6條第1項,國城營造有限公司,997786802WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650384號,70000
鄒開鑄,2024-07-01,職業安全衛生法第6條第1項,森城建設股份有限公司,998258344WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650653號,110000
陳榮泉,2024-07-01,職業安全衛生法第26條第2項,峻富物流股份有限公司,998258348WZT,承攬人就其承攬之全部或一部分交付再承攬時，未依前項規定告知再承攬人,新北府勞檢字第1134650500號,40000
陳皇旭,2024-07-02,職業安全衛生法第6條第1項,世燡有限公司,998258349WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650722號,30000
,2024-07-02,職業安全衛生法第6條第1項,陳耀基,998258350WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650471號,10000
姜康明,2024-07-02,職業安全衛生法第6條第1項,中國製罐金屬股份有限公司,998258351WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650716號,60000
許再勝,2024-07-01,職業安全衛生法第6條第1項,國原營造股份有限公司,998258352WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650478號,30000
彭千瑜,2024-07-02,職業安全衛生法第6條第1項,皓澤精密股份有限公司,998258353WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650648號,30000
林鴻吉,2024-07-02,職業安全衛生法第6條第1項,國城營造有限公司,998258354WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650720號,100000
陳詩涵,2024-07-02,職業安全衛生法第6條第1項,震陵企業股份有限公司,998258355WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650398號,50000
周文裕,2024-07-02,職業安全衛生法第6條第1項,美力香食品股份有限公司,998258356WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650702號,30000
,2024-07-02,職業安全衛生法第6條第1項,李鴻禧(即長紘企業社),998258357WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650693號,40000
,2024-07-02,職業安全衛生法第6條第1項,謝憲政(即冠霖裝潢工程行),998435051WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650759號,100000
張勝發,2024-07-03,職業安全衛生法第6條第1項,洛城營造有限公司,998435061WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651144號,140000
林鴻吉,2024-07-03,職業安全衛生法第6條第1項,國城營造有限公司,998435062WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134650859號,60000
吳瑞源,2024-07-04,職業安全衛生法第6條第1項,年勝工業股份有限公司,998599358WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651250號,30000
程毅君,2024-07-03,職業安全衛生法第31條第1項,衛生福利部雙和醫院(委託臺北醫學大學興建經營),998599359WZT,對有母性健康危害之虞之工作，未採取危害評估、控制及分級管理措施，或對於妊娠中或分娩後未滿一年之女性勞工，應依醫師適性評估建議，採取工作調整或更換等健康保護措施，並留存紀錄。,新北府勞檢字第1134650842號,30000
蔡瑞富,2024-07-03,職業安全衛生法第23條第1項,澎富企業有限公司,998599360WZT,未訂定職業安全衛生管理計畫，並設置安全衛生組織、人員，實施安全衛生管理及自動檢查,新北府勞檢字第1134651301號,30000
張勝發,2024-07-03,職業安全衛生法第6條第1項,洛城營造有限公司,998599361WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651349號,50000
林鴻吉,2024-07-08,職業安全衛生法第6條第1項,國城營造有限公司,998599362WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651326號,40000
葉錦森,2024-07-04,職業安全衛生法第6條第1項,同興營造工程股份有限公司,998599363WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651229號,30000
何書華,2024-07-03,職業安全衛生法第6條第1項,耀暘印刷股份有限公司,998599366WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651103號,30000
蔡坤安,2024-07-05,職業安全衛生法第6條第1項,生特興業有限公司,998762201WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651602號,30000
,2024-07-09,職業安全衛生法第6條第1項,劉永淇(即尚淇工程行),999557147WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651428號,40000
劉炳松,2024-07-09,職業安全衛生法第6條第1項,國王營造股份有限公司,999557148WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651823號,40000
林鴻吉,2024-07-09,職業安全衛生法第6條第1項,國城營造股份有限公司,999557152WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134651706號,60000
