principal,date,law,name,id,lawcontent,docno,amt_dollartwd
謝宗哲,2022-02-25,勞動基準法第23條第2項,森巴足球有限公司,878663945WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第1114734788號,20000
謝宗哲,2022-02-25,勞動基準法第30條第6項,森巴足球有限公司,878663946WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第11147347881號,20000
謝宗哲,2022-02-25,勞動基準法第38條第1項及第4項,森巴足球有限公司,878663947WZT,未依規定給予特別休假,新北府勞檢字第11147347882號,20000
簡明鐘,2022-02-25,勞動基準法第24條,榮騰環保清潔有限公司,878663949WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114734785號,20000
簡明鐘,2022-02-25,勞動基準法第36條第1項,榮騰環保清潔有限公司,878663950WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147347851號,20000
簡明鐘,2022-02-25,勞動基準法第38條第1項及第4項,榮騰環保清潔有限公司,878663951WZT,未依規定給予特別休假,新北府勞檢字第11147347852號,20000
吳美良,2022-03-01,勞動基準法第30條第6項,一念間電影有限公司,879277745WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114734945號,20000
余朝郎,2022-03-01,勞動基準法第24條,龍鑫紙器有限公司,879277746WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114735455號,80000
葉威辰,2022-03-01,勞動基準法第30條第6項,力矩工程有限公司,879277748WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114734980號,20000
葉威辰,2022-03-01,勞動基準法第38條第1項及第4項,力矩工程有限公司,879277749WZT,未依規定給予特別休假,新北府勞檢字第11147349801號,20000
葉威辰,2022-03-01,勞動基準法第59條第2款,力矩工程有限公司,879277750WZT,未依規定給與職業災害補償,新北府勞檢字第11147349802號,20000
姚祖驤,2022-03-01,勞動基準法第59條第4款,榮工工程股份有限公司,879277751WZT,未依規定給與職業災害補償,新北府勞檢字第1114734943號,40000
陳美珍,2022-03-01,勞動基準法第59條第4款,奕輝工程有限公司,879277752WZT,未依規定給與職業災害補償,新北府勞檢字第11147349431號,20000
許世富,2022-03-02,勞動基準法第22條第2項,尉新科技事業有限公司,879277753WZT,工資未全額直接給付勞工,新北府勞檢字第1114735569號,20000
許世富,2022-03-02,勞動基準法第24條,尉新科技事業有限公司,879277754WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147355691號,20000
許世富,2022-03-02,勞動基準法第32條第2項,尉新科技事業有限公司,879277755WZT,延長工作時間超過法令規定,新北府勞檢字第11147355692號,20000
許世富,2022-03-02,勞動基準法第36條第1項,尉新科技事業有限公司,879277756WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147355693號,20000
許世富,2022-03-02,勞動基準法第39條,尉新科技事業有限公司,879277757WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147355694號,20000
許世富,2022-03-02,勞動基準法第59條,尉新科技事業有限公司,879277758WZT,未依規定給與職業災害補償,新北府勞檢字第11147355695號,20000
陳敏琪,2022-03-02,勞動基準法第23條第1項,基立溪財務管理顧問有限公司,879277760WZT,未提供勞工工資各項目計算方式明細,新北府勞檢字第1114735593號,10000
