項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
5258,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,VeggieMaria冷凍祕魯絲蘆筍,112/6/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5259,好市多股份有限公司中和分公司,新北市中和區中山路2段347號,美國特選冷凍帶骨牛小排(美國),112/4/10,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5260,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,蛤蠣,111/7/25,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5261,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,­,111/3/23,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5262,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,日本大根,112/4/10,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5263,好市多股份有限公司中和分公司,新北市中和區中山路2段347號,美國特選牛腱真空包,110/8/27,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5264,好市多股份有限公司中和分公司,新北市中和區中山路二段347號,冷凍鱸魚片,110/3/8,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5265,好市多股份有限公司內湖分公司,臺北市內湖區舊宗路一段268號、民善街255號,KirklandSignature科克蘭煙燻野生紅鮭魚,114/8/14,放射性核種,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5266,好市多股份有限公司內湖分公司,臺北市內湖區舊宗路一段268號,Magnum有機雨林綜合咖啡豆,114/3/28,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5267,好市多股份有限公司內湖分公司,臺北市內湖區舊宗路1段268號,雞清胸肉,113/7/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
